表記ルール,CSVであるので当然、comma区切りであるが、内容に関する区切り文字は|とする,,,,
contest,problem,algorithm,note,date,solve type
315,A,問題文通り,std::findを使った方がよかった,2026/8/21,
315,B,問題文通り | 累積和,累積和が使えるらしい,2026/8/21,
317,A,問題文通り,事前にhを足すとstd::lower_bound()が使える,2026/8/21,
317,B,規則性,連続しているということは公差が1,2026/8/21,
318,A,数学的問題,m<=pという制約を利用して、pを足してからpで割ることで、条件分岐を無くした,2026/8/21,
318,B,言い換え | 累積和,平面を2次元配列に言い換え | 2次元累積和が使えるらしい,2026/8/21,
319,A,STL,データの埋め込みを効率化するのがコツ | フォーマットが同じで条件分岐が多いときはプログラムでプログラムを書く,2026/8/21,
319,B,問題文通り,特になし,2026/8/21,
320,A,pow,std::pow()は遅いので、自作する必要がある,2026/8/21,
320,B,回文,std::string::substr()で取得できるのは、長さが(第2引数-1)の部分文字列,2026/8/21,
321,A,問題文通り,yesの初期値をtrueにすることで、1文字でもYesが出力されるようにした,2026/8/21,
321,B,答えで全探索 | 二分探索,特になし,2026/8/21,
322,A,問題文通り,std::string::substr()を使うとき、添え字に注意(右閉区間になる),2026/8/21,
322,B,問題文通り、prefix・suffix、ビット演算,ビット演算で出力の場合分けを減らす,2026/8/21,
323,A,問題文通り | ビット演算,&を取ることで部分的な抽出ができる,2026/8/21,
323,B,昇順・降順混合,昇順と降順が共存した状態(例：勝ち数は多い順、選手番号は若い順)でソートするときは片方に-1を掛けることで、増加の方向を揃える,2026/8/21,
324,A,問題文通り,特になし,2024/1/1 | 2026/8/22,
324,B,問題文通り | 言い換え,c++にはlog2とlog10しかないので、それ以外は底の変換公式を使う必要がある,2024/1/18 | 2026/8/22,
325,A,問題文通り,特になし,2024/1/18 | 2026/8/23,
325,B,全探索,パターン数が少ないパラメータで全探索 | 今回は時間(0<=t<24)を使った,2024/1/18 | 2026/8/23,
326,A,言い換え,問題文を読み間違えた,2026/8/23,
326,B,答えで全探索 | 数学的問題,桁の取得がちょっと複雑,2026/8/23,
327,A,STL,c++23で追加されたstd::string::contains()を使用すると楽,2023/11/04 | 2026/8/23,
327,B,答えで全探索 | 数学的問題,A^Aをシミュレーションして、Bの最大値を超える最小のAまで調べれば十分,2023/11/04 | 2026/8/23,
328,A,問題文通り,特になし,2026/8/23,
328,B,答えで全探索,月と日にちの両方で全探索 | monthについては内側のforの外側で文字列化した方がto_stringの呼び出し回数を減らせる,2026/8/23,
329,A,問題文通り,特になし,2026/8/23,
329,B,言い換え,「最大値ではない最大値=2番目に大きい値」と解釈する必要がある,2026/8/23,
330,A,問題文通り,特になし,2026/8/24,
330,B,言い換え,全探索できない→次は言い換え,2026/8/24,
331,A,問題文通り | 数学的問題,カレンダーをイメージする,2023/12/02 | 2024/04/01 | 2026/8/24,
331,B,工夫した全探索 | 答えで全探索,勘違いでWA | 入力値が大きいのでループ回数をできるだけ減らしたい | s、m、lのどれか一つの数をそれ以外の2つから計算数ることでループ変数を減らし、3重ループから2重ループに変換する必要がある | 公式解説では、Nが100であるから、100回ループを3重するだけだった,2026/8/24,
332,A,問題文通り,特になし,2023/12/10 | 2026/8/24,公式解と同じ
332,B,問題文通り | 数学的問題,移動量の計算を数学的と捉えた,2023/12/10 | 2026/8/24,公式解と同じ
333,A,問題文通り,特になし,2023/12/16 | 2026/8/24,公式解とほぼ同じ
333,B,実装問題 | 言い換え,答えが何通りであるかを予想する->長さが2種類であることに気づく,2023/12/16 | 2026/8/24,公式解と異なる
