Contest,Problem,Algorithm,Note,Date
315,A,問題文通り,std::findを使った方がよかった,2026/8/21
315,B,問題文通り | 累積和,累積和が使えるらしい,2026/8/21
317,A,問題文通り,事前にhを足すとstd::lower_bound()が使える,2026/8/21
317,B,規則性,連続しているということは公差が1,2026/8/21
318,A,数学的問題,m<=pという制約を利用して、pを足してからpで割ることで、条件分岐を無くした,2026/8/21
318,B,言い換え | 累積和,平面を2次元配列に言い換え | 2次元累積和が使えるらしい,2026/8/21
319,A,標準ライブラリ,データの埋め込みを効率化するのがコツ | フォーマットが同じで条件分岐が多いときはプログラムでプログラムを書く,2026/8/21
319,B,問題文通り,特になし,2026/8/21
320,A,pow,std::pow()は遅いので、自作する必要がある,2026/8/21
320,B,回文,std::string::substr()で取得できるのは、長さが(第2引数-1)の部分文字列,2026/8/21
321,A,問題文通り,yesの初期値をtrueにすることで、1文字でもYesが出力されるようにした,2026/8/21
321,B,答えで全探索 | 二分探索,特になし,2026/8/21
322,A,問題文通り,std::string::substr()を使うとき、添え字に注意(右閉区間になる),2026/8/21
322,B,問題文通り | prefix・suffix | ビット演算,ビット演算で出力の場合分けを減らす,2026/8/21
323,A,問題文通り | ビット演算,&を取ることで部分的な抽出ができる,2026/8/21
323,B,昇順・降順混合,昇順と降順が共存した状態(例：勝ち数は多い順、選手番号は若い順)でソートするときは片方に-1を掛けることで、増加の方向を揃える,2026/8/21
324,A,問題文通り,特になし,2024/1/1 | 2026/8/22
324,B,問題文通り | 言い換え,c++にはlog2とlog10しかないので、それ以外は底の変換公式を使う必要がある,2024/1/18 | 2026/8/22
325,A,問題文通り,特になし,2024/1/18 | 2026/8/23
325,B,全探索,パターン数が少ないパラメータで全探索 | 今回は時間(0<=t<24)を使った,2024/1/18 | 2026/8/23
326,A,言い換え,問題文を読み間違えた,2026/8/23
326,B,答えで全探索 | 数学的問題,桁の取得がちょっと複雑,2026/8/23
327,A,標準ライブラリ,c++23で追加されたstd::string::contains()を使用すると楽,2023/11/04 | 2026/8/23
327,B,答えで全探索 | 数学的問題,A^Aをシミュレーションして、Bの最大値を超える最小のAまで調べれば十分,2023/11/04 | 2026/8/23
328,A,問題文通り,特になし,2026/8/23
328,B,答えで全探索,月と日にちの両方で全探索 | monthについては内側のforの外側で文字列化した方がto_stringの呼び出し回数を減らせる,2026/8/23
329,A,問題文通り,特になし,2026/8/23
329,B,言い換え,「最大値ではない最大値=2番目に大きい値」と解釈する必要がある,2026/8/23
330,A,問題文通り,特になし,2026/8/24
330,B,言い換え,全探索できない→次は言い換え,2026/8/24
331,A,問題文通り | 数学的問題,カレンダーをイメージする,2023/12/02 | 2024/04/01 | 2026/8/24
331,B,工夫した全探索 | 答えで全探索,勘違いでWA | 入力値が大きいのでループ回数をできるだけ減らしたい | s、m、lのどれか一つの数をそれ以外の2つから計算数ることでループ変数を減らし、3重ループから2重ループに変換する必要がある | 公式解説では、Nが100であるから、100回ループを3重するだけだった,2026/8/24
332,A,問題文通り,特になし,2023/12/10 | 2026/8/24
332,B,問題文通り | 数学的問題,移動量の計算を数学的と捉えた,2023/12/10 | 2026/8/24
333,A,問題文通り,特になし,2023/12/16 | 2026/8/24
333,B,実装問題 | 言い換え,答えが何通りであるかを予想する->長さが2種類であることに気づく,2023/12/16 | 2026/8/24
334,A,問題文通り,特になし,2023/12/23 | 2026/8/24
334,B,数学的問題,ドムズイ | -inf方向のfloor関数を作成する必要がある | 標準ライブラリのceil()とfloor()は数学的な定義と異なるため、使わないほうがいい,2023/12/23 | 2026/8/24
335,A,問題文通り,特になし,2024/1/18 | 2026/8/24
335,B,全探索,前回はtupleをsortしていたが、3重forで昇順に出力するだけで十分だった,2024/1/18 | 2026/8/24
336,A,問題文通り,特になし,2024/1/14 | 2026/8/24
336,B,ビット演算,ビット演算について要復習 | README.mdに書いた,2024/1/14 | 2026/8/24
337,A,問題文通り,特になし,2024/1/20 | 2026/8/24
337,B,全探索 | 言い換え,「拡張文字列 = 文字が辞書順で並んでいる」と解釈する,2024/1/20 | 2026/8/24
338,A,問題文通り | 標準ライブラリ,isupper()、islower()はboolを返さない,2024/1/20 | 2026/8/24
338,B,問題文通り | 文字と数字の変換,特になし,2024/1/20 | 2026/8/24
339,A,問題文通り,条件より、末尾からの探索は自明,2026/8/24
339,B,グリッド | 実装問題,トラース状を再現するためにの計算が少し複雑 | ceilに関してABC334のBを参照 | 始め上を向いていることを考慮してDX、DYを実装,2026/8/25
340,A,問題文通り,forが等差数列そのまんま,2024/2/10 | 2026/8/25
340,B,問題文通り | クエリ,std::end()についてREADME.mdに書いた,2024/2/10 | 2026/8/25
341,A,問題文通り,特になし,2024/2/17 | 2026/8/25
341,B,実装問題 | 言い換え,答えになる状況を想像する | a[i]/s[i]の計算をlong longで受け取らないと、WAになる,2026/8/25
342,A,実装問題,シンプルに実装するのが難しい,2026/8/25
342,B,問題文通り,最初の3文字を見て少数派が1文字の方になる | 全体を走査する必要がない,2026/8/2
343,A,問題文通り,公式解答では1回の比較だけで解いていた,2026/8/25
343,B,問題文通り,隣接行列について知らなかった,2026/8/25
344,A,実装問題,「|」をはじくアルゴリズムが地味にムズイ,2026/8/26
344,B,問題文通り,入力にnが与えられないのは珍しい気がする,2026/8/26
345,A,問題文通り | 言い換え,少し問題文の条件を言い換える,2026/8/26
345,B,数学的問題,ceil()を使うので難しい,2026/8/26
346,A,問題文通り,特になし,2026/8/26
346,B,実装問題 | 数学的問題,sの連結を繰り返すのは不安なので、余りを使う | 走査の始まりはsの文字数である12通りしかない,2026/8/26
347,A,問題文通り,入力を受け取った直後に判定できる条件なので、入力をstd::vectorで保持しておく必要はない,2026/8/26
347,B,問題文通り | 部分文字列,std::string::substr(a、b)は[a、a+b-1]なので、a+b<=nまでループする必要がある,2026/8/26
348,A,問題文通り,特になし,2024/4/6 | 2026/8/26
348,B,問題文通り,std::sqrt()を使わなくても問題を解ける | 整数型を使うことで誤差が発生しない,2024/4/6 | 2026/8/26
349,A,言い換え,総和に注目,2024/4/13 | 2026/8/26
349,B,実装問題,複数の配列を使うのでややこしい,2024/4/13 | 2026/8/26
350,A,標準ライブラリ,std::stoi()を使えば文字列を数字に直せる,2024/4/20 | 2026/8/26
350,B,言い換え,問題文を言い換えれば、条件分岐は要らない | 1なら0に、0なら1にというように反転するときはxorを使う,2024/4/20 | 2026/8/26
351,A,問題文通り,必要なのは合計だけなので、vectorは要らない,2024/4/27 | 2026/8/26
351,B,問題文通り,特になし,2024/4/27 | 2026/8/26
352,A,問題文通り | 数学的問題,min()とmax()を使ってxとyをソートする | 積の偶奇に着目すると短いコードになる,2024/5/4 | 2026/8/27
352,B,問題文通り | 実装問題,Sを見つける度にSの添え字を進める必要がある,2024/5/4 | 2026/8/27
353,A,問題文通り,front()と比較するのはNG,2026/8/27
353,B,実装問題,シミュレーションするプログラムを書けばAC,2026/8/27
354,A,問題文通り,シミュレーションするプログラムを書けばAC,2026/8/27
354,B,実装問題,sortした文字列vectorのT%N番目の要素が答えになる,2026/8/27
355,A,言い換え | 数学的問題,人のインデックスの総和が不変であることに着目する,2026/8/28
355,B,問題文通り | 言い換え,連続している = 間に何もないと言い換えられる,2026/8/28
356,A,問題文通り,特になし,2026/8/28
356,B,問題文通り,必要な情報はn品食べた後の各栄養素の総摂取量 | つまり二次元配列Xを用意しなくも実装できる,2026/8/28
357,A,問題文通り,シミュレートするプログラムを書けばAC,2026/8/28
357,B,問題文通り,公式解答とほぼ同じだった,2026/8/28
358,A,問題文通り,特になし,2024/6/30 | 2026/8/28
358,B,言い換え,漸化式のように考える | 遅いほうを採用すればよい,2024/6/30 | 2026/8/28
359,A,問題文通り,特になし,2026/8/28
359,B,言い換え,それぞれの色についてちょうど2人いることから、その二人の位置について調べれば、間にちょうど1人いるという条件は無視できる,2026/8/28
360,A,問題文通り,文字列におけるRとMの位置を求めて比較するだけ,2026/8/28
360,B,実装問題,あり得るすべてのcとwをシミュレーションすればよい,2026/8/28
361,A,問題文通り,特になし,2026/8/28
361,B,共通部分を持つ条件,共通部分を持つ条件をREADME.mdに追加した,2026/8/28
362,A,問題文通り,特になし,2026/8/28
362,B,実装問題,三平方の定理が成り立てば、それは直角三角形!,2026/8/28
