contest,problem,algorithm,note
315,A,問題文通り,std::findを使った方がよかった
315,B,問題文通り、累積和,累積和が使えるらしい
317,A,問題文通り,事前にhを足すとstd::lower_boundが使える
317,B,規則性,連続しているということは公差が1
318,A,数学的問題,m<=pという制約を利用して、pを足してからpで割ることで、条件分岐を無くした
318,B,言い換え、累積和,平面を2次元配列に言い換え、2次元累積和が使えるらしい
319,A,STL,データの埋め込みを効率化するのがコツ、プログラムでプログラムを書く
319,B,問題文通り,特になし
320,A,pow,std::powは遅いので、自作する必要がある
320,B,回文,std::string::substr()で取得できるのは、長さが(第2引数-1)の部分文字列
321,A,問題文通り,yesの初期値をtrueにすることで、1文字でもYesが出力されるようにした
321,B,答えで全探索、二分探索,特になし
322,A,問題文通り,std::string::substr()を使うとき、添え字に注意(右閉区間になる)
322,B,問題文通り、prefix・suffix、ビット演算,ビット演算で出力の場合分けを減らす
323,A,問題文通り、ビット演算,&を取ることで部分的な抽出ができる
323,B,昇順・降順混合,昇順と降順が共存した状態(例：勝ち数は多い順、選手番号は若い順)でソートするときは片方に-1を掛けることで、増加の方向を揃える
324,A,問題文通り,特になし
324,B,問題文通り、言い換え,c++にはlog2とlog10しかないので、それ以外は底の変換公式を使う必要がある
325,A,問題文通り,特になし
325,B,全探索,パターン数が少ないパラメータで全探索、今回は時間(0<=t<24)を使った
326,A,言い換え,問題文を読み間違えた
326,B,答えで全探索、数学的問題,桁の取得がちょっと複雑
327,A,STL,c++23で追加されたstd::string::contains()を使用すると楽
327,B,答えで全探索、数学的問題,A^Aをシミュレーションして、Bの最大値を超える最小のAまで調べれば十分
472,A,問題文通り,特になし
472,B,累積和,添字に注意
